category,quarter,n,raw_rate,within_index,ageadj_index
coding,2022Q2,1500,21.9353,77.84,71.50
coding,2022Q3,1748,21.8865,74.13,67.80
coding,2022Q4,1708,22.7645,76.05,68.93
coding,2023Q1,1722,22.7134,74.51,65.76
coding,2023Q2,1539,25.9137,76.45,67.26
coding,2023Q3,1680,26.0159,81.57,70.24
coding,2023Q4,1740,21.1058,62.60,52.49
coding,2024Q1,1836,21.3625,62.82,50.58
coding,2024Q2,1509,21.8893,65.64,52.19
coding,2024Q3,1668,17.2248,51.76,40.08
coding,2024Q4,1160,14.7708,41.71,31.78
design,2018Q4,812,21.2352,42.09,86.71
design,2019Q1,1313,57.8134,59.52,72.10
design,2019Q2,1402,81.2800,64.28,69.44
design,2019Q3,1367,71.9098,99.21,107.11
design,2019Q4,1789,42.4544,50.96,55.06
design,2020Q1,1975,52.5072,91.44,92.33
design,2020Q2,1922,62.9852,98.24,97.73
design,2020Q3,1913,72.7846,106.93,106.46
design,2020Q4,1834,72.1827,104.11,104.10
design,2021Q1,1796,67.7163,96.99,96.41
design,2021Q2,1939,67.2828,98.21,97.44
design,2021Q3,2153,50.0809,74.29,72.82
design,2021Q4,1928,49.6629,75.80,73.06
design,2022Q1,1970,41.2271,70.52,67.84
design,2022Q2,1951,55.2304,77.26,72.89
design,2022Q3,2222,43.9678,70.46,67.18
design,2022Q4,2078,50.7622,76.47,71.43
design,2023Q1,2110,53.4601,75.59,70.59
design,2023Q2,1870,62.1345,82.66,76.86
design,2023Q3,1722,70.9420,91.45,83.76
design,2023Q4,1780,54.5613,72.20,66.21
design,2024Q1,1770,57.4554,69.71,63.86
design,2024Q2,1557,67.7375,70.29,64.42
design,2024Q3,1971,34.6734,42.34,38.79
design,2024Q4,1652,31.8099,36.51,32.59
marketing,2018Q4,369,7.6287,56.49,69.84
marketing,2019Q1,513,19.5331,59.59,59.60
marketing,2019Q2,481,15.9175,48.55,50.18
marketing,2019Q3,471,24.6109,73.62,74.47
marketing,2019Q4,1127,6.2021,49.42,51.55
marketing,2020Q1,1228,15.6211,96.87,95.44
marketing,2020Q2,1033,19.5876,102.61,103.15
marketing,2020Q3,1136,22.5906,104.31,104.52
marketing,2020Q4,1137,22.6417,96.44,97.19
marketing,2021Q1,1098,22.1338,95.34,95.14
marketing,2021Q2,1163,22.6145,96.45,95.66
marketing,2021Q3,1314,17.8308,82.68,80.32
marketing,2021Q4,1254,16.5877,74.70,74.22
marketing,2022Q1,1373,13.5742,74.07,71.84
marketing,2022Q2,1332,17.3518,80.56,77.18
marketing,2022Q3,1401,16.3658,79.20,76.80
marketing,2022Q4,1271,20.2785,84.74,83.65
marketing,2023Q1,1350,21.1289,80.65,76.99
marketing,2023Q2,1211,23.2739,79.62,77.13
marketing,2023Q3,1145,26.6681,87.83,84.36
marketing,2023Q4,1350,20.2423,70.40,67.46
marketing,2024Q1,1444,19.6594,69.55,65.53
marketing,2024Q2,1233,18.8398,70.36,67.27
marketing,2024Q3,1474,15.5178,64.82,59.32
marketing,2024Q4,1003,13.5717,52.90,47.34
translation,2018Q4,297,5.3939,33.20,41.54
translation,2019Q1,389,14.8316,31.77,33.55
translation,2019Q2,346,26.8526,36.11,37.43
translation,2019Q3,242,41.3285,71.29,73.79
translation,2019Q4,727,11.2892,36.30,37.91
translation,2020Q1,1236,15.4588,84.55,85.84
translation,2020Q2,959,23.3617,105.32,105.57
translation,2020Q3,981,24.8013,107.14,106.59
translation,2020Q4,1040,24.6498,104.82,103.53
translation,2021Q1,956,26.2932,100.90,99.91
translation,2021Q2,1024,25.3071,101.59,98.88
translation,2021Q3,1161,19.4448,87.08,85.52
translation,2021Q4,1049,13.3521,76.99,76.02
translation,2022Q1,1143,10.3695,74.95,72.58
translation,2022Q2,1096,13.2196,78.06,74.52
translation,2022Q3,1277,15.3955,77.95,74.14
translation,2022Q4,955,20.3306,82.61,80.01
translation,2023Q1,972,20.2053,80.32,75.93
translation,2023Q2,835,21.6389,84.25,80.01
translation,2023Q3,952,20.3148,85.59,81.55
translation,2023Q4,875,16.9636,71.67,67.49
translation,2024Q1,885,15.4069,68.73,64.87
translation,2024Q2,739,16.4668,72.40,68.10
translation,2024Q3,859,15.1441,72.92,67.52
translation,2024Q4,513,10.7715,52.86,48.48
video,2018Q4,550,5.3273,41.43,56.36
video,2019Q1,825,14.9545,38.27,42.97
video,2019Q2,761,28.8259,42.91,45.38
video,2019Q3,590,41.2802,64.69,69.16
video,2019Q4,1516,6.9445,35.09,37.79
video,2020Q1,1640,17.1484,90.92,88.68
video,2020Q2,1256,24.4978,98.59,100.03
video,2020Q3,1332,32.5476,113.86,115.25
video,2020Q4,1439,29.2189,97.98,97.82
video,2021Q1,1411,28.7196,94.94,92.35
video,2021Q2,1431,29.0629,94.26,91.34
video,2021Q3,1769,21.6746,74.90,70.99
video,2021Q4,1749,18.6793,68.87,65.94
video,2022Q1,1798,17.5425,68.74,64.34
video,2022Q2,1821,18.6248,69.71,63.45
video,2022Q3,1793,18.1354,64.59,58.25
video,2022Q4,1528,21.2229,71.37,64.14
video,2023Q1,1732,20.2404,68.83,60.91
video,2023Q2,1486,22.2773,70.54,61.05
video,2023Q3,1506,24.3505,75.56,64.49
video,2023Q4,1556,19.0432,58.61,49.06
video,2024Q1,1830,18.4368,59.16,49.07
video,2024Q2,1379,19.1119,57.72,47.31
video,2024Q3,1788,16.7568,56.19,43.27
video,2024Q4,1371,12.4479,40.15,30.04
writing,2018Q4,863,8.1495,33.71,63.58
writing,2019Q1,1306,27.5115,42.09,49.72
writing,2019Q2,1270,34.3509,34.85,38.97
writing,2019Q3,1248,46.5991,69.27,73.57
writing,2019Q4,1751,17.5137,37.07,38.07
writing,2020Q1,1780,32.5285,88.85,88.53
writing,2020Q2,1598,38.8413,101.49,102.56
writing,2020Q3,1558,46.1881,105.51,105.19
writing,2020Q4,1521,46.3831,105.10,104.70
writing,2021Q1,1480,45.6646,100.24,98.62
writing,2021Q2,1544,45.2855,99.94,97.55
writing,2021Q3,1733,34.2552,78.13,76.30
writing,2021Q4,1596,33.4575,78.22,75.30
writing,2022Q1,1711,26.9095,71.65,66.81
writing,2022Q2,1725,32.2499,75.29,68.13
writing,2022Q3,1892,29.2960,69.81,62.93
writing,2022Q4,1783,33.8291,75.46,67.79
writing,2023Q1,1829,34.5002,72.46,62.72
writing,2023Q2,1657,34.8455,69.93,58.75
writing,2023Q3,1630,36.0160,72.95,59.96
writing,2023Q4,1625,28.5357,55.84,44.84
writing,2024Q1,1731,27.1435,53.18,41.91
writing,2024Q2,1399,30.6352,50.46,38.90
writing,2024Q3,1703,23.8787,42.61,32.29
writing,2024Q4,1287,19.5991,31.99,23.71
