niche,niche_label,n_listings,arrival_quarter,peak_ai_share
212,custom / create custom / create,227,2024Q3,0.0874
213,manager / marketing / social media,76,,0.0000
214,website / design / wix,55,,0.0000
215,voice / female voice / male voice,78,2024Q1,0.2632
216,make / professional / video,61,,0.0000
218,cover / facebook / design,61,,0.0000
219,edit / proofread / proofread edit,234,,0.0556
220,hours / 24 / 24 hours,46,,0.0000
221,affiliate / promotion / clickbank,103,,0.0000
222,english / arabic / translation,70,,0.0000
223,videos / create / youtube,104,,0.0667
224,instagram / organic / growth,75,,0.0000
225,french / voice / record,75,,0.0000
227,art / 2d / character,66,,0.0278
228,produce / beat / hip hop,90,,0.0000
229,spokesperson / video / spokesperson video,160,2023Q3,0.1538
230,website / design / wordpress website,173,,0.0000
231,website / seo / seo website,109,,0.0000
232,youtube / promotion / youtube video,123,,0.0000
233,google ads / google / ads,237,,0.0000
234,videos / edit / proofread,62,,0.0000
235,intro / logo / animated,40,,0.0000
236,spanish / audio / transcribe,30,,0.0000
237,animation / video / create,77,,0.0667
239,develop / using / python,96,2023Q1,0.1143
240,setup / setup google / analytics,84,,0.0000
241,music / create / music video,68,,0.0000
242,book / trailer / cinematic,98,,0.0000
244,audio / music / professional,48,,0.0000
245,song / record / record professional,173,,0.0000
246,translate / english / translate english,236,,0.1034
247,italian / translate / english,99,,0.0000
248,setup / manage / optimize,32,,0.0000
249,record / voiceover / record professional,99,,0.0000
250,wordpress / website / wordpress website,74,2024Q3,0.0714
251,facebook / instagram / ad,91,,0.0000
252,edit / master / mix,71,,0.0000
253,design / create / awesome,67,,0.0000
254,google / analytics / google analytics,103,,0.0000
255,editing / photo / video editing,118,,0.0263
256,song / transcribe / transcribe audio,40,,0.0000
257,provide / music / music video,56,,0.0000
258,shopify / store / sales,74,,0.0000
259,promotion / youtube / organic,114,,0.0000
260,spanish / voice / record,92,,0.0000
261,app / mobile / promotion,38,,0.0000
262,book / write / ebook,50,,0.0000
263,intro / animation / logo,89,,0.0000
264,media / social / social media,321,,0.0204
265,audio / video / audio video,62,,0.0000
266,promote / song / music,41,,0.0000
267,youtube / design / youtube video,63,,0.0000
268,transcribe / audio / audio video,168,,0.1176
269,brand / write / create,78,,0.0000
271,create / marketing / strategy,44,,0.0000
272,shopify / store / shopify store,200,,0.0000
273,manager / content / marketing,61,,0.0000
274,text / translate / english,61,,0.0000
275,game / video / video game,108,,0.0000
276,produce / audio / ad,70,,0.0000
277,professionally / website / chinese,44,,0.0000
278,book / cover / design,145,,0.0000
279,research / keyword / keyword research,150,,0.0000
280,voice / professional / record,104,,0.0286
281,transcription / video transcription / audio video,62,,0.0000
282,seo / ranking / backlinks,137,,0.0000
284,german / english german / german english,111,,0.0000
285,french / english / english french,76,,0.0000
286,logo / create / logo design,83,,0.0000
287,write / seo / blog,72,,0.0000
288,music / music video / post,42,,0.0000
289,wordpress / seo / wordpress website,81,,0.0556
290,create / awesome / video,56,,0.0000
291,podcast / promotion / organic,71,,0.0000
292,marketing / text / email,30,,0.0000
293,marketing / manager / marketing manager,78,,0.0000
295,design / excel / book,52,,0.0000
296,produce / audiobook / acx,48,,0.0000
298,provide / professional / seo,63,,0.0000
299,voice / male / record,129,,0.0000
300,excel / convert / pdf,90,,0.0500
301,french / provide / english,42,,0.0000
302,make / song / sing,116,,0.0000
303,youtube / twitch / animated,75,,0.0000
304,youtube / video / youtube video,94,,0.0000
305,product / write / seo,90,,0.0000
306,music / make / video,76,2023Q2,0.1053
307,quality / high / high quality,37,,0.0000
309,media / social / content,136,,0.0000
310,write / sales / funnel,41,,0.0000
311,content / instagram / creator,34,,0.0000
312,instagram / page / shoutout,91,,0.0000
313,data / excel / entry,139,,0.0000
314,videos / tiktok / ugc,40,,0.0000
315,unique / create unique / create,121,,0.0000
316,custom / design / create custom,87,,0.0000
317,animation / 2d / make,46,,0.0000
318,create / python / using,60,2023Q3,0.1579
319,make / custom / create custom,55,,0.0571
320,female / voice / female voice,92,,0.0000
321,content / creator / content creator,81,2023Q2,0.2059
322,social media / social / media,141,,0.0000
323,product / amazon / video,41,,0.0000
324,hours / 24 / 24 hours,31,,0.0000
325,instagram / grow / manage,133,,0.0000
326,sales / funnel / sales funnel,42,,0.0000
328,spanish / english / english spanish,143,,0.0000
329,professionally / professionally translate / professionally edit,97,,0.0000
330,website / develop / using,53,,0.0000
331,business / write / plan,68,,0.0000
332,data / excel / entry,86,,0.0625
333,setup / analytics / google,108,,0.0000
334,ads / video / facebook,56,,0.0000
335,transcription / audio / audio video,112,,0.0000
336,logo / brand / design,81,,0.0000
337,videos / add / subtitles,59,,0.0000
338,backlinks / high / seo,176,,0.0000
339,spanish / english / translate,85,,0.0000
340,wordpress / website / wordpress website,134,,0.0357
342,html / fix / css,115,,0.0000
343,provide / marketing / provide professional,47,,0.0000
344,promo / video / promo video,83,,0.0500
345,voiceover / female / record,90,,0.0250
346,arabic / teach / english arabic,43,,0.0000
347,3d / make / animation,65,,0.0312
348,promote / social / media,42,,0.0000
349,web / data / scraping,91,,0.0000
350,professionally / master / mix,74,,0.0000
351,make / make professional / make custom,225,,0.0167
352,shopify / store / fix,49,,0.0000
354,explainer / animation / explainer video,88,,0.0000
355,manager / media manager / marketing manager,30,,0.0000
356,podcast / create / notes,42,,0.0000
357,amazing / create amazing / video,83,2023Q3,0.0857
358,best / influencer / instagram influencer,79,,0.0588
359,shopify / store / shopify store,141,,0.0405
360,custom / animated / create custom,63,,0.0000
361,business / marketing / marketing manager,63,,0.0000
362,teach / spanish / english spanish,44,,0.0000
363,app / mobile / design,64,,0.0000
364,produce / compose / beat,91,,0.0000
365,amazon / ppc / optimize,82,,0.0000
366,3d / animation / create 3d,133,,0.0000
367,professionally / translate / english,39,,0.0000
368,logo / modern / logo design,114,,0.0000
369,quality / write / high,42,,0.0000
370,female / voice / professional,110,,0.0250
371,professionally / edit / professionally edit,76,2024Q3,0.0615
372,animation / create / animation video,95,,0.0244
373,promotion / music / spotify,125,,0.0000
374,hours / 24 / 24 hours,86,,0.0000
375,quality / high / high quality,206,,0.0000
376,write / professional / create professional,36,,0.0000
378,website / app / mobile,77,,0.0667
380,write / script / youtube,57,,0.0000
381,app / mobile / mobile app,49,2024Q3,0.0952
382,content / website / seo,61,,0.0500
383,book / ebook / book cover,98,,0.0000
384,website / write / blog,37,,0.0000
385,cover / podcast / art,49,,0.0000
386,seo / google / ranking,52,,0.0000
387,music / record / compose,30,,0.0000
388,german / english / provide,54,,0.0000
389,convert / pdf / html,64,,0.0000
390,amazon / listing / amazon ppc,100,,0.0000
391,write / script / lyrics,320,,0.0000
392,social / media / social media,71,,0.0000
393,sales / funnel / sales funnel,99,,0.0690
394,wix / wix website / website,173,,0.0000
396,instagram / create / facebook,89,,0.0000
397,fix / issues / fix wordpress,108,,0.0000
398,promote / website / product,42,,0.0000
399,3d / design / create 3d,89,,0.0000
400,real / estate / real estate,171,,0.0000
401,seo / backlinks / seo backlinks,119,,0.0000
402,professionally / german / translate,37,,0.0000
403,transcribe / transcribe audio / sheet,66,,0.0294
404,add / subtitles / english,110,,0.0000
405,design / best / art,59,,0.0000
406,songwriter / singer / singer songwriter,58,,0.0000
407,blog / post / write,95,2022Q3,0.0833
408,email / email marketing / provide,105,,0.0000
409,hours / design / 24,84,,0.0000
410,local / seo / local seo,155,,0.0000
411,write / content / creator,46,,0.0000
413,business / professional / design,51,,0.0000
414,youtube / seo / video,74,,0.0000
415,write / video / script,57,,0.0000
416,business / create / card,85,2023Q2,0.2105
417,french / english french / french english,51,,0.0000
418,song / music / sheet,55,,0.0000
420,transcribe / audio / transcribe audio,48,,0.2000
421,research / seo / keyword,88,,0.0000
422,product / video / create,108,,0.0000
423,french / german / spanish,50,,0.0000
425,record / voiceover / record professional,100,,0.0526
426,make / beat / hop,59,,0.0000
427,web / real / estate,38,,0.0000
428,post / backlinks / guest,77,,0.0000
430,affiliate / sales / clickbank,148,,0.0000
432,videos / make / animated,52,2023Q3,0.1250
433,provide / audio / transcription,47,,0.0000
434,local / help / real,34,,0.0000
436,google / google ads / ads,49,,0.1765
437,voice / record / record professional,102,,0.0588
439,mix / master / mix master,110,,0.0000
440,design / digital / digital marketing,33,,0.0000
441,make / animation / animation video,44,,0.0000
442,music / game / compose,54,,0.0000
443,channel / youtube channel / youtube,102,,0.0000
445,hours / 24 / 24 hours,195,,0.0476
447,custom / website / build,33,2024Q3,0.2000
448,seo / page / landing page,57,,0.0000
449,business / marketing / strategy,49,,0.0000
