tier	rank	url	gig_id	seller	slug	category	rc_quartile	last_seen	last_quarter	last_price_basic	last_review_count	last_rating
1	11	https://www.fiverr.com/raphicx2125/design-tech-and-saas-logo-with-corporate-brand-identity	raphicx2125/design-tech-and-saas-logo-with-corporate-brand-identity	raphicx2125	design-tech-and-saas-logo-with-corporate-brand-identity	design	Q1	20260217	2026Q1	15.0	3	5.0
1	12	https://www.fiverr.com/eveeelin/create-a-high-end-brand-identity	eveeelin/create-a-high-end-brand-identity	eveeelin	create-a-high-end-brand-identity	design	Q2	20251112	2025Q4	350.0	26	4.8
1	13	https://www.fiverr.com/complexxfx/rig-light-and-render-your-3d-models-for-movies-and-games	complexxfx/rig-light-and-render-your-3d-models-for-movies-and-games	complexxfx	rig-light-and-render-your-3d-models-for-movies-and-games	design	Q3	20240805	2024Q3	40.0	241	5.0
1	14	https://www.fiverr.com/graphic_alert/make-5-logo-animation-intros	graphic_alert/make-5-logo-animation-intros	graphic_alert	make-5-logo-animation-intros	design	Q4	20250817	2025Q3	15.0	3989	4.9
1	15	https://www.fiverr.com/masumbillah54/design-attractive-social-media-posts	masumbillah54/design-attractive-social-media-posts	masumbillah54	design-attractive-social-media-posts	design	Qna	20250514	2025Q2	10.0		
1	16	https://www.fiverr.com/shofeulislam/fix-google-search-console-analytics-index-coverage-errors	shofeulislam/fix-google-search-console-analytics-index-coverage-errors	shofeulislam	fix-google-search-console-analytics-index-coverage-errors	marketing	Q1	20250117	2025Q1	5.0	6	5.0
1	17	https://www.fiverr.com/muhammaddani70/do-guest-post-on-marketbusinessnews-and-priceofbusiness	muhammaddani70/do-guest-post-on-marketbusinessnews-and-priceofbusiness	muhammaddani70	do-guest-post-on-marketbusinessnews-and-priceofbusiness	marketing	Q2	20201007	2020Q4	85.0	22	5.0
1	18	https://www.fiverr.com/rebeccapagec/give-your-marketing-strategy-more-focus-8c49	rebeccapagec/give-your-marketing-strategy-more-focus-8c49	rebeccapagec	give-your-marketing-strategy-more-focus-8c49	marketing	Q3	20240916	2024Q3	65.0	136	5.0
1	19	https://www.fiverr.com/sampabiswas/create-a-responsive-landing-page-for-your-startup-business	sampabiswas/create-a-responsive-landing-page-for-your-startup-business	sampabiswas	create-a-responsive-landing-page-for-your-startup-business	marketing	Q4	20240706	2024Q3	25.0	1361	5.0
1	20	https://www.fiverr.com/singurc/provide-award-winning-ppc-and-google-ads-services	singurc/provide-award-winning-ppc-and-google-ads-services	singurc	provide-award-winning-ppc-and-google-ads-services	marketing	Qna	20230408	2023Q2	100.0		
1	21	https://www.fiverr.com/saschacs/be-your-german-customer-service-and-technical-support-agent	saschacs/be-your-german-customer-service-and-technical-support-agent	saschacs	be-your-german-customer-service-and-technical-support-agent	translation	Q1	20240119	2024Q1	25.0	4	5.0
1	22	https://www.fiverr.com/anna1590/teach-you-conversational-russian	anna1590/teach-you-conversational-russian	anna1590	teach-you-conversational-russian	translation	Q2	20211016	2021Q4	10.0	34	5.0
1	23	https://www.fiverr.com/amandastudio/record-a-unique-brazilian-portuguese-voiceover	amandastudio/record-a-unique-brazilian-portuguese-voiceover	amandastudio	record-a-unique-brazilian-portuguese-voiceover	translation	Q3	20220102	2022Q1	25.0	128	5.0
1	24	https://www.fiverr.com/elanjapowers/transcribe-english-audio-to-text-any-accent	elanjapowers/transcribe-english-audio-to-text-any-accent	elanjapowers	transcribe-english-audio-to-text-any-accent	translation	Q4	20231024	2023Q4	5.0	351	5.0
1	25	https://www.fiverr.com/nativechina/typewrite-enter-1000-english-or-chinese-words	nativechina/typewrite-enter-1000-english-or-chinese-words	nativechina	typewrite-enter-1000-english-or-chinese-words	translation	Qna	20200208	2020Q1	5.0		
1	26	https://www.fiverr.com/vfxbook/create-high-quality-book-promo-video	vfxbook/create-high-quality-book-promo-video	vfxbook	create-high-quality-book-promo-video	video	Q1	20250811	2025Q3	30.0	5	5.0
1	27	https://www.fiverr.com/raj2016/make-this-isometric-explainer-video-for-you	raj2016/make-this-isometric-explainer-video-for-you	raj2016	make-this-isometric-explainer-video-for-you	video	Q2	20241001	2024Q4	200.0	25	4.9
1	28	https://www.fiverr.com/yusriil/create-lottie-json-svg-animated-gif-video-for-website-app	yusriil/create-lottie-json-svg-animated-gif-video-for-website-app	yusriil	create-lottie-json-svg-animated-gif-video-for-website-app	video	Q3	20231001	2023Q4	15.0	140	5.0
1	29	https://www.fiverr.com/dmitrighi/create-truck-logistics-warehouse-promo-video	dmitrighi/create-truck-logistics-warehouse-promo-video	dmitrighi	create-truck-logistics-warehouse-promo-video	video	Q4	20241002	2024Q4	10.0	639	5.0
1	30	https://www.fiverr.com/graphicsqueens/create-cinematic-3d-book-trailer-video	graphicsqueens/create-cinematic-3d-book-trailer-video	graphicsqueens	create-cinematic-3d-book-trailer-video	video	Qna	20251227	2025Q4	10.0		
1	31	https://www.fiverr.com/sivanlm/shoot-editorial-fashion-spreads-in-new-york	sivanlm/shoot-editorial-fashion-spreads-in-new-york	sivanlm	shoot-editorial-fashion-spreads-in-new-york	writing	Q1	20240829	2024Q3	550.0	2	5.0
1	32	https://www.fiverr.com/tarafoss/proofread-and-copy-edit-your-work	tarafoss/proofread-and-copy-edit-your-work	tarafoss	proofread-and-copy-edit-your-work	writing	Q2	20220103	2022Q1	100.0	53	5.0
1	33	https://www.fiverr.com/seb_jenkins/freelance-journalist-experience-writing-across-all-subjects-news-and-sport	seb_jenkins/freelance-journalist-experience-writing-across-all-subjects-news-and-sport	seb_jenkins	freelance-journalist-experience-writing-across-all-subjects-news-and-sport	writing	Q3	20241004	2024Q4	25.0	147	5.0
1	34	https://www.fiverr.com/katiehowe/write-engaging-sales-copy	katiehowe/write-engaging-sales-copy	katiehowe	write-engaging-sales-copy	writing	Q4	20241003	2024Q4	20.0	2326	4.9
1	35	https://www.fiverr.com/daniel51233/create-book-author-website	daniel51233/create-book-author-website	daniel51233	create-book-author-website	writing	Qna	20250118	2025Q1	50.0		
1	36	https://www.fiverr.com/brunonavarrov/produce-your-audio-ad-for-radio-podcasts-spotify	brunonavarrov/produce-your-audio-ad-for-radio-podcasts-spotify	brunonavarrov	produce-your-audio-ad-for-radio-podcasts-spotify	audio	Q1	20240905	2024Q3	100.0	5	5.0
1	37	https://www.fiverr.com/syedzeeshan7860/remake-any-beat-for-you	syedzeeshan7860/remake-any-beat-for-you	syedzeeshan7860	remake-any-beat-for-you	audio	Q2	20231008	2023Q4	40.0	67	4.9
1	38	https://www.fiverr.com/acasillas987/mix-and-master-your-rap-hip-hop-song	acasillas987/mix-and-master-your-rap-hip-hop-song	acasillas987	mix-and-master-your-rap-hip-hop-song	audio	Q3	20240824	2024Q3	100.0	179	4.9
1	39	https://www.fiverr.com/reggieduncan1/play-pedal-steel-guitar-on-your-song	reggieduncan1/play-pedal-steel-guitar-on-your-song	reggieduncan1	play-pedal-steel-guitar-on-your-song	audio	Q4	20241003	2024Q4	55.0	1399	5.0
1	40	https://www.fiverr.com/varoproductions/help-you-find-pleasure-in-pursuing-your-music-career	varoproductions/help-you-find-pleasure-in-pursuing-your-music-career	varoproductions	help-you-find-pleasure-in-pursuing-your-music-career	audio	Qna	20240201	2024Q1	140.0		
1	41	https://www.fiverr.com/jimavidbrio/migrate-your-store-to-shopify-with-a-professional-design	jimavidbrio/migrate-your-store-to-shopify-with-a-professional-design	jimavidbrio	migrate-your-store-to-shopify-with-a-professional-design	coding	Q1	20221029	2022Q4	1440.0	12	5.0
1	42	https://www.fiverr.com/mohinkhan007/do-fabulous-and-eye-catching-ms-word-excel-invoice-for-you	mohinkhan007/do-fabulous-and-eye-catching-ms-word-excel-invoice-for-you	mohinkhan007	do-fabulous-and-eye-catching-ms-word-excel-invoice-for-you	coding	Q2	20210702	2021Q3	10.0	36	4.9
1	43	https://www.fiverr.com/aiobjective/code-for-computer-vision-with-deep-learning-in-python	aiobjective/code-for-computer-vision-with-deep-learning-in-python	aiobjective	code-for-computer-vision-with-deep-learning-in-python	coding	Q3	20241001	2024Q4	95.0	77	5.0
1	44	https://www.fiverr.com/arslannone/create-shopify-store-dropshipping-store-or-shopify-website	arslannone/create-shopify-store-dropshipping-store-or-shopify-website	arslannone	create-shopify-store-dropshipping-store-or-shopify-website	coding	Q4	20241206	2024Q4	80.0	1246	4.9
1	45	https://www.fiverr.com/webdivine/squarespace-website-designer-and-developer	webdivine/squarespace-website-designer-and-developer	webdivine	squarespace-website-designer-and-developer	coding	Qna	20200711	2020Q3	350.0		
1	46	https://www.fiverr.com/w3bdesignuk/design-and-build-a-custom-woocommerce-website	w3bdesignuk/design-and-build-a-custom-woocommerce-website	w3bdesignuk	design-and-build-a-custom-woocommerce-website	design	Q1	20200102	2020Q1	1100.0	9	5.0
1	47	https://www.fiverr.com/alimsarder786/create-amazing-animated-logo-animation-youtube-intro-video	alimsarder786/create-amazing-animated-logo-animation-youtube-intro-video	alimsarder786	create-amazing-animated-logo-animation-youtube-intro-video	design	Q2	20250922	2025Q3	5.0	57	4.8
1	48	https://www.fiverr.com/sarahgraphics/a-brand-style-guide-and-logo-design	sarahgraphics/a-brand-style-guide-and-logo-design	sarahgraphics	a-brand-style-guide-and-logo-design	design	Q3	20250820	2025Q3	90.0	130	4.9
1	49	https://www.fiverr.com/graphic_company/create-a-superior-powerpoint-presentation	graphic_company/create-a-superior-powerpoint-presentation	graphic_company	create-a-superior-powerpoint-presentation	design	Q4	20241003	2024Q4	70.0	3073	5.0
1	50	https://www.fiverr.com/perfectdesigns7/design-creative-social-media-design-and-professional-banner-ads	perfectdesigns7/design-creative-social-media-design-and-professional-banner-ads	perfectdesigns7	design-creative-social-media-design-and-professional-banner-ads	design	Qna	20250122	2025Q1	10.0		
1	51	https://www.fiverr.com/setjo1980/do-an-advanced-monthly-seo-and-will-fix-all-site-errors	setjo1980/do-an-advanced-monthly-seo-and-will-fix-all-site-errors	setjo1980	do-an-advanced-monthly-seo-and-will-fix-all-site-errors	marketing	Q1	20220409	2022Q2	600.0	5	5.0
1	52	https://www.fiverr.com/tomneale521/do-advanced-seo-competitor-keyword-research-for-google-using-semrush-or-ahrefs	tomneale521/do-advanced-seo-competitor-keyword-research-for-google-using-semrush-or-ahrefs	tomneale521	do-advanced-seo-competitor-keyword-research-for-google-using-semrush-or-ahrefs	marketing	Q2	20240526	2024Q2	65.0	24	5.0
1	53	https://www.fiverr.com/wajidlatif/setup-sales-and-membership-funnels-in-clickfunnels	wajidlatif/setup-sales-and-membership-funnels-in-clickfunnels	wajidlatif	setup-sales-and-membership-funnels-in-clickfunnels	marketing	Q3	20250131	2025Q1	180.0	156	4.6
1	54	https://www.fiverr.com/amz_services63/catchy-amazon-product-listing-description-with-seo-amazon-listing-optimization	amz_services63/catchy-amazon-product-listing-description-with-seo-amazon-listing-optimization	amz_services63	catchy-amazon-product-listing-description-with-seo-amazon-listing-optimization	marketing	Q4	20240914	2024Q3	15.0	414	4.9
1	55	https://www.fiverr.com/social_atik/perfectly-all-social-media-accounts-create-set-up-and-optimize-professionally	social_atik/perfectly-all-social-media-accounts-create-set-up-and-optimize-professionally	social_atik	perfectly-all-social-media-accounts-create-set-up-and-optimize-professionally	marketing	Qna	20240522	2024Q2	5.0		
1	56	https://www.fiverr.com/stephaniejmnz/spanish-voiceover-for-your-inclusive-project	stephaniejmnz/spanish-voiceover-for-your-inclusive-project	stephaniejmnz	spanish-voiceover-for-your-inclusive-project	translation	Q1	20211101	2021Q4	100.0	3	5.0
1	57	https://www.fiverr.com/fabiorevo/record-a-professional-italian-voice-over	fabiorevo/record-a-professional-italian-voice-over	fabiorevo	record-a-professional-italian-voice-over	translation	Q2	20200208	2020Q1	5.0	24	5.0
1	58	https://www.fiverr.com/juanvoiceart/deep-male-voice-over-in-spanish	juanvoiceart/deep-male-voice-over-in-spanish	juanvoiceart	deep-male-voice-over-in-spanish	translation	Q3	20231001	2023Q4	15.0	136	5.0
1	59	https://www.fiverr.com/nsabrina/translate-english-to-italian	nsabrina/translate-english-to-italian	nsabrina	translate-english-to-italian	translation	Q4	20240119	2024Q1	5.0	855	5.0
1	60	https://www.fiverr.com/christiangutirr/write-narration-scripts-for-your-podcast-in-spanish	christiangutirr/write-narration-scripts-for-your-podcast-in-spanish	christiangutirr	write-narration-scripts-for-your-podcast-in-spanish	translation	Qna	20241001	2024Q4	5.0		
1	61	https://www.fiverr.com/fruktorum/develop-high-quality-video-game-for-any-platform	fruktorum/develop-high-quality-video-game-for-any-platform	fruktorum	develop-high-quality-video-game-for-any-platform	video	Q1	20240826	2024Q3	5000.0	15	5.0
1	62	https://www.fiverr.com/trippiesteff/do-an-awesome-looped-animation-in-my-unique-style	trippiesteff/do-an-awesome-looped-animation-in-my-unique-style	trippiesteff	do-an-awesome-looped-animation-in-my-unique-style	video	Q2	20240401	2024Q2	300.0	69	5.0
1	63	https://www.fiverr.com/rapid_pro/create-premium-2d-animated-explainer-video-in-24h	rapid_pro/create-premium-2d-animated-explainer-video-in-24h	rapid_pro	create-premium-2d-animated-explainer-video-in-24h	video	Q3	20241001	2024Q4	55.0	169	5.0
1	64	https://www.fiverr.com/sandrotsk/create-lofi-hip-hop-animations	sandrotsk/create-lofi-hip-hop-animations	sandrotsk	create-lofi-hip-hop-animations	video	Q4	20241005	2024Q4	75.0	884	4.9
1	65	https://www.fiverr.com/vfxbook/make-custom-children-book-trailer-and-kids-promo-videos-8645	vfxbook/make-custom-children-book-trailer-and-kids-promo-videos-8645	vfxbook	make-custom-children-book-trailer-and-kids-promo-videos-8645	video	Qna	20250426	2025Q2	10.0		
1	66	https://www.fiverr.com/belalmiya/retouch-and-enhancement-product-photo-editing-and-clipping-path	belalmiya/retouch-and-enhancement-product-photo-editing-and-clipping-path	belalmiya	retouch-and-enhancement-product-photo-editing-and-clipping-path	writing	Q1	20250120	2025Q1	5.0	4	1.7
1	67	https://www.fiverr.com/maryjmurphy22/write-your-cover-letter-resume-or-cv	maryjmurphy22/write-your-cover-letter-resume-or-cv	maryjmurphy22	write-your-cover-letter-resume-or-cv	writing	Q2	20240903	2024Q3	165.0	62	5.0
1	68	https://www.fiverr.com/bkille/write-a-tv-commercial-or-video-script	bkille/write-a-tv-commercial-or-video-script	bkille	write-a-tv-commercial-or-video-script	writing	Q3	20220701	2022Q3	195.0	74	4.9
1	69	https://www.fiverr.com/antur2020/promote-and-kindle-ebook-to-usa-users-at-website	antur2020/promote-and-kindle-ebook-to-usa-users-at-website	antur2020	promote-and-kindle-ebook-to-usa-users-at-website	writing	Q4	20241002	2024Q4	65.0	328	4.9
1	70	https://www.fiverr.com/shihab_ga4/fix-or-setup-facebook-pixel-conversion-api-with-server-side-tracking-via-gtm	shihab_ga4/fix-or-setup-facebook-pixel-conversion-api-with-server-side-tracking-via-gtm	shihab_ga4	fix-or-setup-facebook-pixel-conversion-api-with-server-side-tracking-via-gtm	writing	Qna	20250126	2025Q1	10.0		
1	71	https://www.fiverr.com/thir13eenbeatz/create-love-song-for-marriage-anniversary-birthday	thir13eenbeatz/create-love-song-for-marriage-anniversary-birthday	thir13eenbeatz	create-love-song-for-marriage-anniversary-birthday	audio	Q1	20241003	2024Q4	50.0	5	5.0
1	72	https://www.fiverr.com/israelprince/create-afrobeats-in-48-hours	israelprince/create-afrobeats-in-48-hours	israelprince	create-afrobeats-in-48-hours	audio	Q2	20221002	2022Q4	20.0	32	4.9
1	73	https://www.fiverr.com/aclekahney/master-your-rock-metal-djent-punk-music	aclekahney/master-your-rock-metal-djent-punk-music	aclekahney	master-your-rock-metal-djent-punk-music	audio	Q3	20240701	2024Q3	100.0	107	5.0
1	74	https://www.fiverr.com/radiostreamlive/play-your-song-on-radio-new-york-live	radiostreamlive/play-your-song-on-radio-new-york-live	radiostreamlive	play-your-song-on-radio-new-york-live	audio	Q4	20241123	2024Q4	55.0	946	4.9
1	75	https://www.fiverr.com/gma7913/provide-straightforward-advice-on-how-to-improve-your-music-675c	gma7913/provide-straightforward-advice-on-how-to-improve-your-music-675c	gma7913	provide-straightforward-advice-on-how-to-improve-your-music-675c	audio	Qna	20231001	2023Q4	100.0		
1	76	https://www.fiverr.com/mikewhaites/provide-1-hour-of-wix-website-design-assistance	mikewhaites/provide-1-hour-of-wix-website-design-assistance	mikewhaites	provide-1-hour-of-wix-website-design-assistance	coding	Q1	20221022	2022Q4	900.0	3	5.0
1	77	https://www.fiverr.com/techconsolution/design-an-html5-responsive-website-for-you	techconsolution/design-an-html5-responsive-website-for-you	techconsolution	design-an-html5-responsive-website-for-you	coding	Q2	20191004	2019Q4	25.0	31	4.9
1	78	https://www.fiverr.com/mehran120/do-material-takeoff-estimation-bluebeam-plan-swift-quantity-surveyor-boq	mehran120/do-material-takeoff-estimation-bluebeam-plan-swift-quantity-surveyor-boq	mehran120	do-material-takeoff-estimation-bluebeam-plan-swift-quantity-surveyor-boq	coding	Q3	20240401	2024Q2	25.0	114	4.7
1	79	https://www.fiverr.com/iammrsq/create-an-excel-formula	iammrsq/create-an-excel-formula	iammrsq	create-an-excel-formula	coding	Q4	20210609	2021Q2	5.0	504	5.0
1	80	https://www.fiverr.com/mhmdwldnprhst/do-web-scraping-data-mining-and-extraction-of-any-website	mhmdwldnprhst/do-web-scraping-data-mining-and-extraction-of-any-website	mhmdwldnprhst	do-web-scraping-data-mining-and-extraction-of-any-website	coding	Qna	20250103	2025Q1	30.0		
1	81	https://www.fiverr.com/burntredhen/custom-illustrated-wedding-invitation	burntredhen/custom-illustrated-wedding-invitation	burntredhen	custom-illustrated-wedding-invitation	design	Q1	20220624	2022Q2	400.0	5	5.0
1	82	https://www.fiverr.com/thedevsigner/design-interactive-pdf-ex-fillable-form-user-manual-guide	thedevsigner/design-interactive-pdf-ex-fillable-form-user-manual-guide	thedevsigner	design-interactive-pdf-ex-fillable-form-user-manual-guide	design	Q2	20260101	2026Q1	10.0	47	5.0
1	83	https://www.fiverr.com/arif_saputra/make-your-manga-page	arif_saputra/make-your-manga-page	arif_saputra	make-your-manga-page	design	Q3	20240925	2024Q3	60.0	192	4.9
1	84	https://www.fiverr.com/milkyway1315/design-responsive-mailchimp-email-template-034a6103-5c2c-4cde-86bc-1d8753a8a3cc	milkyway1315/design-responsive-mailchimp-email-template-034a6103-5c2c-4cde-86bc-1d8753a8a3cc	milkyway1315	design-responsive-mailchimp-email-template-034a6103-5c2c-4cde-86bc-1d8753a8a3cc	design	Q4	20240916	2024Q3	25.0	986	4.9
1	85	https://www.fiverr.com/iamfahim_k/ecwid-and-big-cartel-online-store-design-ecwid-and-big-cartel-website	iamfahim_k/ecwid-and-big-cartel-online-store-design-ecwid-and-big-cartel-website	iamfahim_k	ecwid-and-big-cartel-online-store-design-ecwid-and-big-cartel-website	design	Qna	20251106	2025Q4	20.0		
1	86	https://www.fiverr.com/sayyamkashmiri/do-text-message-and-bulk-sms-marketing-one-time-blast-sms	sayyamkashmiri/do-text-message-and-bulk-sms-marketing-one-time-blast-sms	sayyamkashmiri	do-text-message-and-bulk-sms-marketing-one-time-blast-sms	marketing	Q1	20240101	2024Q1	10.0	2	5.0
1	87	https://www.fiverr.com/rockgardenlosan/boost-your-google-rankings-with-30-pr9-high-pr-seo-social-backlinks	rockgardenlosan/boost-your-google-rankings-with-30-pr9-high-pr-seo-social-backlinks	rockgardenlosan	boost-your-google-rankings-with-30-pr9-high-pr-seo-social-backlinks	marketing	Q2	20200121	2020Q1	5.0	66	4.9
1	88	https://www.fiverr.com/arosh_it/create-run-and-manage-tiktok-ads-campaign-tik-tok-ads-tiktok-advertising	arosh_it/create-run-and-manage-tiktok-ads-campaign-tik-tok-ads-tiktok-advertising	arosh_it	create-run-and-manage-tiktok-ads-campaign-tik-tok-ads-tiktok-advertising	marketing	Q3	20240701	2024Q3	30.0	91	5.0
1	89	https://www.fiverr.com/yas17sheikh/setup-google-ads-conversion-tracking	yas17sheikh/setup-google-ads-conversion-tracking	yas17sheikh	setup-google-ads-conversion-tracking	marketing	Q4	20260211	2026Q1	10.0	276	5.0
1	90	https://www.fiverr.com/jimmy1256/create-an-ecommerce-amazon-affiliate-store	jimmy1256/create-an-ecommerce-amazon-affiliate-store	jimmy1256	create-an-ecommerce-amazon-affiliate-store	marketing	Qna	20220621	2022Q2	30.0		
1	91	https://www.fiverr.com/jackbezerra77/localize-your-video-game-from-english-to-portuguese	jackbezerra77/localize-your-video-game-from-english-to-portuguese	jackbezerra77	localize-your-video-game-from-english-to-portuguese	translation	Q1	20241004	2024Q4	20.0	4	5.0
1	92	https://www.fiverr.com/yevhenhumeniuk/do-sweden-seo-with-high-quality-swedish-forum-backlinks	yevhenhumeniuk/do-sweden-seo-with-high-quality-swedish-forum-backlinks	yevhenhumeniuk	do-sweden-seo-with-high-quality-swedish-forum-backlinks	translation	Q2	20241001	2024Q4	60.0	22	4.9
1	93	https://www.fiverr.com/compumusic/transcribe-a-monophonic-instrument-of-any-song	compumusic/transcribe-a-monophonic-instrument-of-any-song	compumusic	transcribe-a-monophonic-instrument-of-any-song	translation	Q3	20230218	2023Q1	5.0	247	5.0
1	94	https://www.fiverr.com/mosesistheone/transcribe-20-minutes-of-audio-for-you	mosesistheone/transcribe-20-minutes-of-audio-for-you	mosesistheone	transcribe-20-minutes-of-audio-for-you	translation	Q4	20241002	2024Q4	5.0	1774	4.9
1	95	https://www.fiverr.com/umargohar/provide-guest-post-on-netherland-and-russian-with-do-follow-link	umargohar/provide-guest-post-on-netherland-and-russian-with-do-follow-link	umargohar	provide-guest-post-on-netherland-and-russian-with-do-follow-link	translation	Qna	20230703	2023Q3	40.0		
1	96	https://www.fiverr.com/arminbeciragic/create-an-appealing-intro-animation	arminbeciragic/create-an-appealing-intro-animation	arminbeciragic	create-an-appealing-intro-animation	video	Q1	20220401	2022Q2	750.0	5	5.0
1	97	https://www.fiverr.com/makarov_video/be-your-videographer-in-new-york-city	makarov_video/be-your-videographer-in-new-york-city	makarov_video	be-your-videographer-in-new-york-city	video	Q2	20250227	2025Q1	210.0	18	4.8
1	98	https://www.fiverr.com/shoaibkalyar912/create-custom-2d-explainer-video	shoaibkalyar912/create-custom-2d-explainer-video	shoaibkalyar912	create-custom-2d-explainer-video	video	Q3	20241001	2024Q4	30.0	231	4.9
1	99	https://www.fiverr.com/mridul4567/video-editting-experiece-for-over-4-years	mridul4567/video-editting-experiece-for-over-4-years	mridul4567	video-editting-experiece-for-over-4-years	video	Q4	20260128	2026Q1	100.0	947	5.0
1	100	https://www.fiverr.com/wizard_of_oz/make-360-video-in-virtual-reality-as-a-company-tour	wizard_of_oz/make-360-video-in-virtual-reality-as-a-company-tour	wizard_of_oz	make-360-video-in-virtual-reality-as-a-company-tour	video	Qna	20200401	2020Q2	2500.0		
1	101	https://www.fiverr.com/carleywithasea/teach-creative-writing-techniques	carleywithasea/teach-creative-writing-techniques	carleywithasea	teach-creative-writing-techniques	writing	Q1	20241008	2024Q4	20.0	7	5.0
1	102	https://www.fiverr.com/homeestates/write-a-professional-blog-or-article	homeestates/write-a-professional-blog-or-article	homeestates	write-a-professional-blog-or-article	writing	Q2	20240702	2024Q3	150.0	56	5.0
1	103	https://www.fiverr.com/chamika_cd/design-your-professional-cv-or-resume	chamika_cd/design-your-professional-cv-or-resume	chamika_cd	design-your-professional-cv-or-resume	writing	Q3	20240706	2024Q3	20.0	202	4.9
1	104	https://www.fiverr.com/asad_rehman_se/create-wordpress-website-or-blog-or-fix-any-issues	asad_rehman_se/create-wordpress-website-or-blog-or-fix-any-issues	asad_rehman_se	create-wordpress-website-or-blog-or-fix-any-issues	writing	Q4	20250816	2025Q3	295.0	302	5.0
1	105	https://www.fiverr.com/daniel98226/write-your-book-from-scratch	daniel98226/write-your-book-from-scratch	daniel98226	write-your-book-from-scratch	writing	Qna	20210223	2021Q1	9990.0		
1	106	https://www.fiverr.com/aquincygoodman/mix-your-metal-or-pop-song-to-a-professional-standard	aquincygoodman/mix-your-metal-or-pop-song-to-a-professional-standard	aquincygoodman	mix-your-metal-or-pop-song-to-a-professional-standard	audio	Q1	20240701	2024Q3	200.0	15	5.0
1	107	https://www.fiverr.com/raymondmusic/write-or-produce-your-rock-or-metal-song	raymondmusic/write-or-produce-your-rock-or-metal-song	raymondmusic	write-or-produce-your-rock-or-metal-song	audio	Q2	20240723	2024Q3	40.0	62	5.0
1	108	https://www.fiverr.com/cascreativearts/write-horror-creepy-intense-background-music	cascreativearts/write-horror-creepy-intense-background-music	cascreativearts	write-horror-creepy-intense-background-music	audio	Q3	20240701	2024Q3	35.0	114	5.0
1	109	https://www.fiverr.com/tgmusic/sing-and-compose-vocals-or-song-for-you	tgmusic/sing-and-compose-vocals-or-song-for-you	tgmusic	sing-and-compose-vocals-or-song-for-you	audio	Q4	20200701	2020Q3	20.0	746	4.9
1	110	https://www.fiverr.com/djkodered/review-your-music-and-give-you-feedback	djkodered/review-your-music-and-give-you-feedback	djkodered	review-your-music-and-give-you-feedback	audio	Qna	20231013	2023Q4	100.0		
